TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
137144814795337.00,0,39,0,-14,25,0.1,0.5,0,0,0,0,2
138797161967068.00,0,39,0,-14,25,0.1,0.5,0,0,0,0,2
140449509138908.00,15.61914063,39,0,-12,27,0.1,0.5,0,0,0,0,3
142101856310873.00,0,39,0,-8,31,0.1,0.5,0,0,0,0,5
143754203482948.00,0,39,0,-6,33,0.1,0.5,0,0,0,0,4
145406550655195.00,0,39,0,-2,37,0.1,0.5,0,0,0,0,5
147058897827566.00,0,40,0,1,41,0.1,0.5,0,0,0,0,6
148711245000063.00,0,34,0,2,36,0.1,0.5,0,0,0,0,1
150363592172669.00,0,32,0,2,34,0.1,0.5,0,0,0,0,2
152015939345400.00,15.62133789,32,0,5,37,0.1,0.5,0,0,0,0,5
153668286518240.00,0,26,0,3,29,0.1,0.5,0,0,0,0,-1
155320633691189.00,0,21,0,2,23,0.1,0.5,0,0,0,0,0
156972980864248.00,0,18,0,1,19,0.1,0.5,0,0,0,0,0
158625328037432.00,0,14,0,1,15,0.1,0.5,0,0,0,0,0
160277675210725.00,0,7,0,0,7,0.1,0.5,0,0,0,0,-3
161930022384128.00,0,2,0,1,3,0.1,0.5,0,0,0,0,-1
163582369557655.00,0,-3,0,2,-1,0.1,0.5,0,0,0,0,-2
165234716731292.00,0,-10,0,3,-7,0.1,0.5,0,0,0,0,-3
166887063905039.00,0,-17,0,6,-11,0.1,0.5,0,0,0,0,-3
168539411078910.00,0,-20,0,6,-14,0.1,0.5,0,0,0,0,-2
170191758252890.00,0,-24,0,6,-18,0.1,0.5,0,0,0,0,-3
171844105426980.00,0,-25,0,4,-21,0.1,0.5,0,0,0,0,-3
173496452601195.00,0,-25,0,4,-21,0.1,0.5,0,0,0,0,-2
175148799775519.00,0,-25,0,3,-22,0.1,0.5,0,0,0,0,-2
176801146949953.00,15.65112305,-27,0,3,-24,0.1,0.5,0,0,0,0,-3
178453494124574.00,0,-25,0,2,-23,0.1,0.5,0,0,0,0,-1
180105841299304.00,0,-25,0,2,-23,0.1,0.5,0,0,0,0,-2
181758188474175.00,0,-24,0,0,-24,0.1,0.5,0,0,0,0,-2
183410535649187.00,0,-26,0,-5,-31,0.1,0.5,0,0,0,0,-6
185062882824323.00,0,-24,0,-6,-30,0.1,0.5,0,0,0,0,-2
186715229999569.00,0,-26,0,-9,-35,0.1,0.5,0,0,0,0,-6
188367577174940.00,0,-26,0,-11,-37,0.1,0.5,0,0,0,0,-4
190019924350451.00,0,-27,0,-15,-42,0.1,0.5,0,0,0,0,-6
191672271526088.00,0,-28,0,-17,-45,0.1,0.5,0,0,0,0,-6
193324618701834.00,0,-29,0,-19,-48,0.1,0.5,0,0,0,0,-6
