TiempoTotal,TimepError,ErrorX,Zero,ErrorY,Error,P,I,D,lr,fb,ud,yaw
118969219438113.62,15.619140625,60,0,-21,39,0.1,0.5,0,5,0,0,4
120621569713128.06,0.0,58,0,-20,38,0.1,0.5,0,5,0,0,3
122273919988283.1,0.0,56,0,-15,41,0.1,0.5,0,5,0,0,5
123926270263563.12,15.623046875,51,0,-11,40,0.1,0.5,0,5,0,0,3
125578620538968.1,0.0,40,0,-3,37,0.1,0.5,0,0,0,0,2
127230970814482.4,15.646728515625,35,0,0,35,0.1,0.5,0,0,0,0,2
128883321090121.72,0.0,33,0,2,35,0.1,0.5,0,0,0,0,3
130535671365885.97,0.0,31,0,3,34,0.1,0.5,0,0,0,0,2
132188021641775.2,0.0,30,0,5,35,0.1,0.5,0,0,0,0,4
133840371917773.78,0.0,27,0,4,31,0.1,0.5,0,0,0,0,1
135492722193881.72,0.0,27,0,4,31,0.1,0.5,0,0,0,0,3
137145072470114.61,0.0,27,0,4,31,0.1,0.5,0,0,0,0,3
138797422746456.86,0.0,26,0,2,28,0.1,0.5,0,0,0,0,1
140449773023002.19,0.0,25,0,-2,23,0.1,0.5,0,0,0,0,0
142102123299656.88,15.6220703125,24,0,-3,21,0.1,0.5,0,0,0,0,1
143754473576436.53,0.0,26,0,-7,19,0.1,0.5,0,0,0,0,0
145406823853325.53,15.61865234375,28,0,-8,20,0.1,0.5,0,0,0,0,2
147059174130339.5,0.0,29,0,-7,22,0.1,0.5,0,0,0,0,3
148711524407462.8,15.619873046875,30,0,-6,24,0.1,0.5,0,0,0,0,3
150363874684711.1,0.0,29,0,-3,26,0.1,0.5,0,0,0,0,3
152016224962084.34,0.0,32,0,-4,28,0.1,0.5,0,0,0,0,3
153668575239566.97,0.0,34,0,-3,31,0.1,0.5,0,0,0,0,4
155320925517174.53,0.0,34,0,-1,33,0.1,0.5,0,0,0,0,4
156973275794891.47,0.0,33,0,2,35,0.1,0.5,0,0,0,0,4
158625626072749.0,15.62109375,33,0,-1,32,0.1,0.5,0,0,0,0,1
160277976350731.5,0.0,35,0,-1,34,0.1,0.5,0,0,0,0,4
161930326628838.97,0.0,35,0,-3,32,0.1,0.5,0,0,0,0,2
163582676907055.78,0.0,36,0,-4,32,0.1,0.5,0,0,0,0,3
165235027185381.94,0.0,37,0,-3,34,0.1,0.5,0,0,0,0,4
166887377463833.1,0.0,36,0,-5,31,0.1,0.5,0,0,0,0,1
168539727742409.2,0.0,36,0,-5,31,0.1,0.5,0,0,0,0,3
170192078021094.62,0.0,37,0,-7,30,0.1,0.5,0,0,0,0,2
171844428299905.03,0.0,40,0,-7,33,0.1,0.5,0,0,0,0,4
173496778578840.4,0.0,40,0,-7,33,0.1,0.5,0,0,0,0,3
175149128857900.78,0.0,46,0,-5,41,0.1,0.5,0,0,0,0,8
176801479137070.5,0.0,55,0,-4,51,0.1,0.5,0,5,0,0,10
178453829416380.8,0.0,65,0,-3,62,0.1,0.5,0,5,0,0,11
180106179695800.47,0.0,74,0,-2,72,0.1,0.5,0,5,0,0,12
181758529975345.1,0.0,90,0,-1,89,0.1,0.5,0,5,0,0,17
183410880255045.94,0.0,111,0,2,113,0.1,0.5,0,5,0,0,23
185063230534887.38,0.0,138,0,8,146,0.1,0.5,0,5,0,0,31
186715580814853.8,15.620361328125,144,0,12,156,0.1,0.5,0,5,0,0,20
188367931094945.2,0.0,140,0,11,151,0.1,0.5,0,5,0,0,12
190020281375161.53,0.0,125,0,10,135,0.1,0.5,0,5,0,0,5
191672631655518.47,15.61865234375,94,0,9,103,0.1,0.5,0,5,0,0,-5
193324981936000.38,0.0,55,0,8,63,0.1,0.5,0,5,0,0,-13
194977332216607.25,0.0,29,0,5,34,0.1,0.5,0,0,0,0,-11
196629682497323.47,15.618896484375,22,0,4,26,0.1,0.5,0,0,0,0,-1
198282032778164.66,0.0,15,0,4,19,0.1,0.5,0,0,0,0,-1
199934383059115.2,15.61962890625,13,0,3,16,0.1,0.5,0,0,0,0,0
201586733340190.7,0.0,11,0,1,12,0.1,0.5,0,0,0,0,0
203239083621375.56,0.0,14,0,0,14,0.1,0.5,0,0,0,0,2
204891433902685.4,0.0,16,0,-2,14,0.1,0.5,0,0,0,0,1
206543784184104.6,0.0,19,0,-2,17,0.1,0.5,0,0,0,0,3
208196134465648.75,0.0,24,0,-4,20,0.1,0.5,0,0,0,0,3
209848484747302.25,0.0,30,0,-6,24,0.1,0.5,0,0,0,0,4
211500835029080.72,0.0,47,0,-8,39,0.1,0.5,0,0,0,0,11
213153185310968.53,0.0,87,0,-6,81,0.1,0.5,0,5,0,0,29
214805535592981.3,0.0,130,0,-18,112,0.1,0.5,0,5,0,0,26
216457885875103.44,15.619384765625,138,0,-30,108,0.1,0.5,0,5,0,0,8
218110236157350.53,15.619873046875,122,0,-63,59,0.1,0.5,0,5,0,0,-18
219762586439722.62,0.0,126,0,-49,77,0.1,0.5,0,5,0,0,16
221414936722219.7,0.0,134,0,-16,118,0.1,0.5,0,5,0,0,32
223067287004841.72,0.0,170,0,5,175,0.1,0.5,0,5,0,0,46
224719637287588.72,0.0,188,0,-12,176,0.1,0.5,0,5,0,0,18
226371987570445.06,0.0,199,0,-18,181,0.1,0.5,0,5,0,0,20
228024337853473.28,0.0,202,0,-14,188,0.1,0.5,0,5,0,0,22
229676688136610.8,0.0,167,0,-15,152,0.1,0.5,0,5,0,0,-2
231329038419873.3,0.0,155,0,-12,143,0.1,0.5,0,5,0,0,9
