Deteccion,Seguimiento,IoU
0,Boosting,1.0256520763816497e-06
0,MIL,1.0256520763816497e-06
0,KCF,0.0003338957004474715
0,TLD,1.0256520763816497e-06
0,MEDIANFLOW,6.525290995605328e-05
0,CSRT,0.0003214800698242831
0,MOSSE,0.0007185000630707978
1,Boosting,8.78388596362879e-07
1,MIL,8.78388596362879e-07
1,KCF,0.00012672851811169623
1,TLD,8.78388596362879e-07
1,MEDIANFLOW,2.8221669438214584e-06
1,CSRT,0.00016836743112052648
1,MOSSE,0.00014900792986951637
